Credit_History,Loan_Status,LoanAmount_log,Gender_Female,Gender_Male,Married_No,Married_Yes,Dependents_0,Dependents_1,Dependents_2,Dependents_3+,Education_Graduate,Education_Not Graduate,Self_Employed_No,Self_Employed_Yes,Property_Area_Rural,Property_Area_Semiurban,Property_Area_Urban,Loan_ID,Total_Income,Total_Income_log,EMI,Balance_Income
1.0,1,4.787491742782046,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,LP001087,5833.0,8.671286726753637,0.3333333333333333,5499.666666666667
1.0,0,5.303304908059076,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,LP001091,7535.0,8.927314111060596,0.5583333333333333,6976.666666666667
1.0,0,4.30406509320417,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,LP001095,3167.0,8.06054004653864,0.20555555555555555,2961.4444444444443
1.0,0,4.663439094112067,0,1,1,0,0,1,0,0,1,0,0,1,1,0,0,LP001097,4692.0,8.453614209773367,0.29444444444444445,4397.555555555556
1.0,1,4.736198448394496,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,LP001098,5167.0,8.550047528287184,0.31666666666666665,4850.333333333333
1.0,0,5.768320995793772,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,LP001100,15500.0,9.648595302907339,0.8888888888888888,14611.111111111111
1.0,1,4.852030263919617,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,LP001106,4342.0,8.376090350438238,0.35555555555555557,3986.4444444444443
0.0,0,4.605170185988092,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,LP001109,3158.0,8.057694194815587,0.2777777777777778,2880.222222222222
1.0,1,4.969813299576001,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,LP001112,5126.0,8.542080906924017,0.4,4726.0
1.0,1,5.214935757608986,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,LP001114,11376.0,9.339261152043022,0.5111111111111111,10864.888888888889
1.0,1,4.700480365792417,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,LP001116,5416.0,8.59711281459211,0.3055555555555556,5110.444444444444
1.0,0,4.382026634673881,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,LP001119,3600.0,8.1886891244442,0.2222222222222222,3377.777777777778
1.0,1,3.8501476017100575,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,LP001120,3013.0,8.0106915391303,0.13055555555555556,2882.4444444444443
1.0,1,4.31748811353631,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,LP001123,2400.0,7.783224016336037,0.20833333333333334,2191.6666666666665
1.0,1,4.897839799950911,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,LP001131,6277.0,8.744647438317532,0.37222222222222223,5904.777777777777
1.0,1,4.564348191467836,0,1,0,1,1,0,0,0,0,1,0,1,0,0,1,LP001136,4695.0,8.454253391642363,0.26666666666666666,4428.333333333333
1.0,1,4.477336814478207,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,LP001137,3410.0,8.134467570277563,0.24444444444444444,3165.5555555555557
1.0,1,3.784189633918261,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,LP001138,5649.0,8.639233817325263,0.12222222222222222,5526.777777777777
1.0,1,4.969813299576001,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,LP001144,5821.0,8.669227347271736,0.4,5421.0
0.0,0,4.787491742782046,1,0,0,1,1,0,0,0,1,0,1,0,0,0,1,LP001146,6085.0,8.713582005421628,0.3333333333333333,5751.666666666667
1.0,1,4.969813299576001,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,LP001151,6275.0,8.744328763999984,0.4,5875.0
1.0,1,4.605170185988092,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,LP001155,3572.0,8.18088094199639,0.2777777777777778,3294.222222222222
1.0,1,4.787491742782046,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,LP001157,3086.0,8.034631032923107,0.3333333333333333,2752.6666666666665
1.0,0,4.718498871295094,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,LP001164,4230.0,8.349957272040324,0.3111111111111111,3918.8888888888887
1.0,0,4.897839799950911,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,LP001179,4616.0,8.437283808187935,0.37222222222222223,4243.777777777777
0.0,0,5.655991810819852,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,LP001186,11500.0,9.350102314351341,0.7944444444444444,10705.555555555555
1.0,1,4.574710978503383,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,LP001194,3875.0,8.262300941787448,0.26944444444444443,3605.5555555555557
1.0,1,4.564348191467836,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,LP001195,3723.0,8.222285073872717,0.26666666666666666,3456.3333333333335
1.0,0,4.90527477843843,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,LP001197,5566.0,8.624431942085836,0.375,5191.0
1.0,1,5.19295685089021,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,LP001198,10330.0,9.242807562113684,0.5,9830.0
1.0,1,4.969813299576001,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,LP001199,6216.0,8.734881892047483,0.4,5816.0
1.0,1,4.787491742782046,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,LP001205,6296.0,8.74766979009724,0.3333333333333333,5962.666666666667
1.0,1,4.59511985013459,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,LP001206,3029.0,8.015987811027237,0.275,2754.0
0.0,0,5.10594547390058,0,1,0,1,1,0,0,0,0,1,0,1,1,0,0,LP001207,6058.0,8.709134991587183,0.9166666666666666,5141.333333333333
0.0,0,4.852030263919617,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,LP001213,4945.0,8.506132244056813,0.35555555555555557,4589.444444444444
0.0,0,4.7535901911063645,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,LP001222,4166.0,8.334711621820917,0.32222222222222224,3843.777777777778
1.0,0,5.552959584921617,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,LP001225,10321.0,9.241935933565934,0.7166666666666667,9604.333333333334
0.0,0,4.836281906951478,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1,LP001228,5454.0,8.604104563405533,0.7,4754.0
1.0,1,5.7430031878094825,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,LP001233,10750.0,9.28266103355581,0.8666666666666667,9883.333333333334
1.0,1,4.8283137373023015,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,LP001238,7100.0,8.867850063029406,2.0833333333333335,5016.666666666666
0.0,0,4.912654885736052,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,LP001241,4300.0,8.366370301681654,0.37777777777777777,3922.222222222222
1.0,1,5.147494476813453,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,LP001243,6274.0,8.744169388750624,0.4777777777777778,5796.222222222223
1.0,1,4.574710978503383,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,LP001245,3750.0,8.229511118964457,0.26944444444444443,3480.5555555555557
1.0,1,4.394449154672439,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,LP001248,3500.0,8.160518247477505,0.27,3230.0
0.0,0,4.553876891600541,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,LP001250,4755.0,8.46695197497949,0.2638888888888889,4491.111111111111
1.0,1,5.231108616854587,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,LP001253,7040.0,8.859363449152088,0.5194444444444445,6520.555555555556
1.0,0,4.727387818712341,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,LP001255,3750.0,8.229511118964457,0.23541666666666666,3514.5833333333335
1.0,0,5.170483995038151,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,LP001256,8500.0,9.047821442478408,0.4888888888888889,8011.111111111111
1.0,0,4.700480365792417,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,LP001259,4022.0,8.299534570332597,0.3055555555555556,3716.4444444444443
0.0,0,5.19295685089021,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,LP001263,7167.0,8.877242435993919,0.6,6567.0
1.0,1,4.867534450455582,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,LP001264,5499.0,8.612321536507814,0.3611111111111111,5137.888888888889
1.0,1,4.709530201312334,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,LP001265,3846.0,8.254788926148725,0.30833333333333335,3537.6666666666665
1.0,1,4.852030263919617,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,LP001266,2395.0,7.781138509845015,0.35555555555555557,2039.4444444444443
1.0,0,5.117993812416755,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,LP001267,3259.0,8.089175678837561,0.4638888888888889,2795.1111111111113
1.0,0,5.579729825986222,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,LP001273,8250.0,9.017968479328726,0.7361111111111112,7513.888888888889
1.0,1,3.912023005428146,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,LP001275,3988.0,8.291045131081729,0.20833333333333334,3779.6666666666665
1.0,1,4.912654885736052,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,LP001279,4897.0,8.496378051702317,0.37777777777777777,4519.222222222223
1.0,1,4.59511985013459,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,LP001280,5333.0,8.581669210600602,0.275,5058.0
1.0,1,4.6443908991413725,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,LP001282,4618.0,8.43771698991444,0.28888888888888886,4329.111111111111
1.0,1,5.3471075307174685,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,LP001289,8566.0,9.055556158175316,0.5833333333333334,7982.666666666667
1.0,1,5.1647859739235145,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,LP001310,9862.0,9.196444266784072,0.4861111111111111,9375.888888888889
1.0,1,4.875197323201151,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,LP001316,5858.0,8.675563527387679,0.3638888888888889,5494.111111111111
1.0,1,5.236441962829949,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,LP001318,11904.0,9.384629757072872,1.0444444444444445,10859.555555555555
1.0,1,4.394449154672439,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,LP001319,5093.0,8.535622326884605,0.225,4868.0
1.0,1,4.804021044733257,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,LP001322,4133.0,8.326758814511733,0.3388888888888889,3794.1111111111113
1.0,1,3.218875824868201,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,LP001325,3620.0,8.194229304819817,0.20833333333333334,3411.6666666666665
1.0,0,4.852030263919617,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,LP001326,6782.0,8.822027322685583,0.35555555555555557,6426.444444444444
1.0,1,4.919980925828125,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,LP001327,4786.0,8.47345026846832,0.38055555555555554,4405.444444444444
1.0,1,3.912023005428146,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,LP001333,2974.0,7.9976631270201,0.1388888888888889,2835.1111111111113
1.0,1,4.74493212836325,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,LP001334,4188.0,8.339978571990427,0.6388888888888888,3549.1111111111113
1.0,1,4.875197323201151,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,LP001343,5300.0,8.575462099540212,0.3638888888888889,4936.111111111111
1.0,1,4.890349128221754,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,LP001345,7551.0,8.929435283803425,0.7388888888888889,6812.111111111111
1.0,1,5.017279836814924,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,LP001349,8649.0,9.065198986306513,0.41944444444444445,8229.555555555555
1.0,1,4.852030263919617,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,LP001350,13650.0,9.521494800613105,0.35555555555555557,13294.444444444445
1.0,1,4.852030263919617,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,LP001356,8235.0,9.016148642611741,0.35555555555555557,7879.444444444444
1.0,1,5.075173815233827,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,LP001357,4570.0,8.42726848388825,0.4444444444444444,4125.555555555556
1.0,1,4.605170185988092,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,LP001367,4082.0,8.31434234336979,0.2777777777777778,3804.222222222222
1.0,1,5.41610040220442,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,LP001369,12543.0,9.436918020024674,0.625,11918.0
1.0,0,4.787491742782046,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0,LP001370,7333.0,8.9001399880938,0.3333333333333333,6999.666666666667
0.0,0,5.375278407684165,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,LP001379,7400.0,8.909235279192261,0.6,6800.0
1.0,1,4.543294782270004,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,LP001384,2825.0,7.946263643580541,0.19583333333333333,2629.1666666666665
1.0,1,4.912654885736052,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,LP001385,5316.0,8.578476419833136,0.37777777777777777,4938.222222222223
1.0,1,4.934473933130692,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,LP001387,5262.0,8.568266461600238,0.3861111111111111,4875.888888888889
0.0,0,5.0238805208462765,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,LP001391,7686.0,8.94715577112479,0.4222222222222222,7263.777777777777
1.0,1,4.852030263919617,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,LP001392,7451.0,8.916103530553727,0.35555555555555557,7095.444444444444
1.0,1,4.770684624465665,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,LP001398,5050.0,8.527143522269405,0.3277777777777778,4722.222222222223
1.0,1,5.220355825078324,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,LP001401,14583.0,9.587611745713565,1.0277777777777777,13555.222222222223
1.0,1,5.0369526024136295,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,LP001404,5450.0,8.60337088765729,0.42777777777777776,5022.222222222223
1.0,1,4.442651256490317,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,LP001405,3612.0,8.192016914536875,0.2361111111111111,3375.8888888888887
1.0,0,5.1647859739235145,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,LP001421,7710.0,8.950273466557375,0.4861111111111111,7223.888888888889
1.0,1,5.556828061699537,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,LP001422,10408.0,9.250330020192342,0.7194444444444444,9688.555555555555
1.0,1,5.19295685089021,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,LP001426,8334.0,9.0280988119824,0.5,7834.0
1.0,1,3.784189633918261,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,LP001430,4166.0,8.334711621820917,0.12222222222222222,4043.777777777778
0.0,1,4.919980925828125,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,LP001431,11117.0,9.316230747233615,0.38055555555555554,10736.444444444445
1.0,1,4.394449154672439,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,LP001432,2957.0,7.9919305198524775,0.225,2732.0
1.0,1,5.267858159063328,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,LP001439,6314.0,8.750524669117937,0.5388888888888889,5775.111111111111
1.0,1,4.532599493153256,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,LP001443,3692.0,8.213923595622743,0.25833333333333336,3433.6666666666665
1.0,1,5.91350300563827,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,LP001448,23803.0,10.077566902136047,1.0277777777777777,22775.222222222223
1.0,1,4.852030263919617,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,LP001449,5505.0,8.61341204915678,0.35555555555555557,5149.444444444444
0.0,0,5.075173815233827,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,LP001451,14363.0,9.572410734431823,0.8888888888888888,13474.111111111111
1.0,0,5.204006687076795,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,LP001465,8649.0,9.065198986306513,0.5055555555555555,8143.444444444444
1.0,1,6.476972362889683,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,LP001469,20166.0,9.91175329695316,1.3541666666666667,18811.833333333332
1.0,1,4.30406509320417,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,LP001473,3943.0,8.279697133877628,0.20555555555555555,3737.4444444444443
1.0,1,4.248495242049359,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,LP001478,2718.0,7.907651594711089,0.19444444444444445,2523.5555555555557
1.0,1,3.218875824868201,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,LP001482,3459.0,8.148734808937169,0.20833333333333334,3250.6666666666665
1.0,1,4.624972813284271,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,LP001487,4895.0,8.49596955496461,0.2833333333333333,4611.666666666667
1.0,0,5.66988092298052,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,LP001488,11750.0,9.371608519572305,0.8055555555555556,10944.444444444445
1.0,0,4.430816798843313,1,0,0,1,1,0,0,0,1,0,1,0,1,0,0,LP001489,4583.0,8.430109084509125,0.23333333333333334,4349.666666666667
1.0,1,4.477336814478207,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,LP001491,6816.0,8.827028068509152,0.24444444444444444,6571.555555555556
0.0,0,5.488937726156687,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,LP001492,14999.0,9.61573881119536,0.6722222222222223,14326.777777777777
1.0,0,4.859812404361672,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,LP001493,5630.0,8.635864721133736,0.35833333333333334,5271.666666666667
1.0,0,5.220355825078324,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,LP001497,7125.0,8.871365005136852,0.5138888888888888,6611.111111111111
1.0,1,5.123963979403259,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,LP001498,5417.0,8.597297435657898,0.4666666666666667,4950.333333333333
1.0,1,5.1647859739235145,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,LP001504,6950.0,8.846496938558838,0.9722222222222222,5977.777777777777
1.0,1,4.804021044733257,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,LP001507,4732.0,8.462103225098277,0.3388888888888889,4393.111111111111
1.0,1,5.231108616854587,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,LP001508,11757.0,9.372204086867741,1.038888888888889,10718.111111111111
1.0,1,4.605170185988092,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,LP001514,6816.0,8.827028068509152,0.2777777777777778,6538.222222222223
1.0,1,4.248495242049359,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,LP001516,14866.0,9.60683200528524,0.19444444444444445,14671.555555555555
1.0,1,3.4011973816621555,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,LP001518,2963.0,7.993957547573565,0.08333333333333333,2879.6666666666665
1.0,0,5.41610040220442,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,LP001519,11666.0,9.364433907313582,0.625,11041.0
1.0,1,4.8283137373023015,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,LP001520,5690.0,8.646465527120377,0.3472222222222222,5342.777777777777
0.0,0,4.770684624465665,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,LP001528,6277.0,8.744647438317532,0.3277777777777778,5949.222222222223
1.0,1,5.0238805208462765,0,1,0,1,1,0,0,0,1,0,0,1,1,0,0,LP001529,6327.0,8.752581469146884,0.4222222222222222,5904.777777777777
1.0,0,5.497168225293202,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,LP001531,9166.0,9.123256265069069,0.6777777777777778,8488.222222222223
1.0,0,4.727387818712341,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,LP001532,2281.0,7.732369222284388,0.3138888888888889,1967.111111111111
1.0,1,3.912023005428146,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,LP001535,3254.0,8.087640287778983,0.1388888888888889,3115.1111111111113
0.0,1,6.396929655216146,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,LP001536,39999.0,10.596609732783568,3.3333333333333335,36665.666666666664
1.0,1,5.075173815233827,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,LP001541,6000.0,8.699514748210191,0.4444444444444444,5555.555555555556
1.0,1,5.231108616854587,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,LP001543,9538.0,9.16303909885817,0.5194444444444445,9018.555555555555
1.0,1,4.787491742782046,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,LP001546,5063.0,8.529714471969909,0.3333333333333333,4729.666666666667
1.0,1,5.541263545158426,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,LP001552,10208.0,9.23092700558457,0.7083333333333334,9499.666666666666
1.0,1,4.584967478670572,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,LP001560,2904.0,7.973844375944687,0.2722222222222222,2631.777777777778
1.0,0,5.616771097666572,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,LP001562,7933.0,8.978786553302003,0.7638888888888888,7169.111111111111
0.0,0,4.795790545596741,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,LP001565,4369.0,8.382289428951436,0.33611111111111114,4032.8888888888887
1.0,1,5.062595033026967,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,LP001570,5614.0,8.633018756921828,0.4388888888888889,5175.111111111111
1.0,1,4.31748811353631,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,LP001572,9323.0,9.140239744296693,0.4166666666666667,8906.333333333334
1.0,1,5.204006687076795,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,LP001574,6873.0,8.835355971121606,0.5055555555555555,6367.444444444444
1.0,0,4.718498871295094,1,0,0,1,1,0,0,0,1,0,1,0,1,0,0,LP001577,4583.0,8.430109084509125,0.3111111111111111,4271.888888888889
1.0,1,4.859812404361672,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,LP001578,5772.0,8.660773919893762,0.35833333333333334,5413.666666666667
0.0,0,4.143134726391533,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,LP001579,2237.0,7.71289096149013,0.13125,2105.75
1.0,1,5.298317366548036,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,LP001580,8000.0,8.987196820661973,0.5555555555555556,7444.444444444444
1.0,1,4.553876891600541,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,LP001581,3589.0,8.185628891147607,0.2638888888888889,3325.1111111111113
1.0,1,6.551080335043404,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,LP001585,51763.0,10.854430887309706,2.3333333333333335,49429.666666666664
1.0,0,4.394449154672439,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,LP001586,3522.0,8.166784289056151,0.45,3072.0
1.0,1,5.231108616854587,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,LP001594,11333.0,9.335474102732949,0.5194444444444445,10813.555555555555
